latin,english,french,spanish,chinese,cas,pl_list
glenvastatinum,glenvastatin,glenvastatine,glenvastatina,格仑伐他汀,,
felvizumabum,felvizumab,felvizumab,felvizumab,泛韦珠单抗,,
tiamenidinum,tiamenidine,tiaménidine,tiamenidina,噻美尼定,,
bervastatinum,bervastatin,bervastatine,bervastatina,柏伐他汀,,
troplasminogenum alfa,troplasminogen alfa,troplasminogène alfa,troplasminógeno alfa,曲纤溶酶原α,,
trimedoximi bromidum,trimedoxime bromide,bromure de trimédoxime,bromuro de trimedoxima,溴三甲肟,,
tigestolum,tigestol,tigestol,tigestol,替孕醇,,
vanglusagenum ensiparvovecum,vanglusagene ensiparvovec,vanglusagène ensiparvovec,vanglusagén ensiparvovec,恩哌凡基,,
brimonidinum,brimonidine,brimonidine,brimonidina,溴莫尼定,,
insulini injectio biphasica,biphasic insulin injection,soluté injectable d'insuline biphasique,inyectable de insulina bifásica,双相胰岛素注射液,,
tosactidum,tosactide,tosactide,tosactida,托沙克肽,,
perbufyllinum,perbufylline,perbufylline,perbufilina,哌丁茶碱,,
pifexolum,pifexole,piféxole,pifexol,匹非克索,,
ilmetropii iodidum,ilmetropium iodide,iodure d'ilmétropium,ioduro de ilmetropio,伊托碘铵,,
pentamorphonum,pentamorphone,pentamorphone,pentamorfona,戊吗酮,,
indoprofenum,indoprofen,indoprofène,indoprofeno,吲哚洛芬,,
,nufenoxole,nufénoxole,nufenoxol,奴芬克索,,
guanazodinum,guanazodine,guanazodine,guanazodina,胍那佐定,,
gestaclonum,gestaclone,gestaclone,gestaclona,孕氯酮,,
oforninum,ofornine,ofornine,ofornina,奥福宁,,
tifuracum,tifurac,tifurac,tifuraco,替呋酸,,
clervonafuspum alfa,clervonafusp alfa,clervonafusp alfa,clervonafusp alfa,克雷那芙普α,,
,ziconotide,ziconotide,ziconotida,齐考诺肽,,
tivanidazolum,tivanidazole,tivanidazole,tivanidazol,替伐硝唑,,
cimoxatonum,cimoxatone,cimoxatone,cimoxatona,西莫沙酮,,
pioglitazonum,pioglitazone,pioglitazone,pioglitazona,吡格列酮,,
meobentinum,meobentine,méobentine,meobentina,甲氧苯汀,,
nilestriolum,nilestriol,nilestriol,nilestriol,尼尔雌醇,,
actinium (225Ac) lintuzumabum satetraxetanum,actinium (225ac) lintuzumab satetraxetan,actinium (225Ac) lintuzumab satétraxétan,actinio (225Ac) lintuzumab satetraxetán,沙锕(225Ac)林妥珠单抗,,
acidum idroxioleicum,idroxioleic acid,acide idroxioléique,ácido idroxioleico,伊屈昔莱酸,,
steffimycinum,steffimycin,steffimycine,estefimicina,司替霉素,,
biciromabum,biciromab,biciromab,biciromab,比西单抗,,
cevaretigenum ritoparvovecum,cevaretigene ritoparvovec,cévarétigène ritoparvovec,cevaretigén ritoparvovec,瑞哌西沃基,,
rimazolii metilsulfas,rimazolium metilsulfate,métilsulfate de rimazolium,metilsulfato de rimazolio,甲硫利马唑,,
cetuximabum sarotalocanum,cetuximab sarotalocan,cétuximab sarotalocan,cetuximab sarotalocán,沙西妥昔单抗,,
urokinasum alfa,urokinase alfa,urokinase alfa,urokinasa alfa,尿激酶α,,
clazolamum,clazolam,clazolam,clazolam,克拉唑仑,,
napirimusum,napirimus,napirimus,napirimús,萘吡莫司,,
taleranolum,taleranol,taléranol,taleranol,他来拉醇,,
lexofenacum,lexofenac,lexofénac,lexofenaco,来克芬酸,,
ethisteronum,ethisterone,ethistérone,etisterona,炔孕酮,,
lidimycinum,lidimycin,lidimycine,lidimicina,利地霉素,,
somatropinum pegolum,somatropin pegol,somatropine pégol,somatropina pegol,培戈-生长激素,,
entacingenum turiparvovecum,entacingene turiparvovec,entacingène turiparvovec,entacingén turiparvovec,瑞哌恩基,,
,clofenetamine,clofénétamine,clofenetamina,氯苯他明,,
montirelinum,montirelin,montiréline,montirelina,孟替瑞林,,
cicloheximidum,cicloheximide,cicloheximide,cicloheximida,环己米特,,
bromerguridum,bromerguride,bromerguride,bromergurida,溴麦角脲,,
acidum polyglycolicum,polyglycolic acid,acide polyglycolique,ácido poliglicólico,聚乙醇酸,,
piperoxanum,piperoxan,pipéroxan,piperoxano,哌罗克生,,
,etiproston,étiprostone,etiprostón,依替前列通,,
,temarotene,témarotène,temaroteno,替马罗汀,,
bendamustinum,bendamustine,bendamustine,bendamustina,苯达莫司汀,,
binizolastum,binizolast,binizolast,binizolast,比尼司特,,
emakalimum,emakalim,émakalim,emakalim,依马卡林,,
halofenatum,halofenate,halofénate,halofenato,卤芬酯,,
ambroxolum,ambroxol,ambroxol,ambroxol,氨溴索,,
,cirazoline,cirazoline,cirazolina,西拉唑啉,,
ethylis cartrizoas,ethyl cartrizoate,cartrizoate d'éthyle,cartrizoato de etilo,碘卡乙酯,,
calcii benzamidosalicylas,calcium benzamidosalicylate,benzamidosalicylate de calcium,benzamidosalicilato de calcio,苯沙酸钙,,
insulinum peglisprum,insulin peglispro,insuline péglispro,insulina peglispro,培赖脯胰岛素,,
beperidii iodidum,beperidium iodide,iodure de bépéridium,ioduro de beperidio,贝哌碘铵,,
mannosulfanum,mannosulfan,mannosulfan,manosulfano,甘露舒凡,,
biriperonum,biriperone,biripérone,biriperona,比立哌隆,,
tiprostanidum,tiprostanide,tiprostanide,tiprostanida,替前列胺,,
lorpiprazolum,lorpiprazole,lorpiprazole,lorpiprazol,洛吡哌唑,,
acidum clorindanicum,clorindanic acid,acide clorindanique,ácido clorindánico,氯茚酚酸,,
sitofibratum,sitofibrate,sitofibrate,sitofibrato,西托贝特,,
barbitalum natricum,barbital sodium,barbital sodique,barbital de sodio,巴比妥钠,,
,acefylline piperazine,acéfylline pipérazine,acefilina piperazina,哌醋茶碱,,
xilobamum,xilobam,xilobam,xilobam,希洛班,,
decimemidum,decimemide,décimémide,decimemida,地西酰胺,,
nuclomedonum,nuclomedone,nuclomédone,nuclomedona,奴氯美酮,,
fepromidum,fepromide,fépromide,fepromida,非普罗胺,,
temelastinum,temelastine,témélastine,temelastina,替美斯汀,,
pyricarbatum,pyricarbate,pyricarbate,piricarbato,吡卡酯,,
tetriprofenum,tetriprofen,tétriprofène,tetriprofeno,替曲洛芬,,
mitoflaxonum,mitoflaxone,mitoflaxone,mitoflaxona,米托拉酮,,
acidum pipemidicum,pipemidic acid,acide pipémidique,ácido pipemídico,吡哌酸,,
motretinidum,motretinide,motrétinide,motretinida,莫维A胺,,
doreptidum,doreptide,doreptide,doreptida,多瑞肽,,
amezinii metilsulfas,amezinium metilsulfate,métilsulfate d'amézinium,metilsulfato de amezinio,甲硫阿美铵,,
metiprenalinum,metiprenaline,métiprénaline,metiprenalina,甲丙那林,,
quinpirolum,quinpirole,quinpirole,quinpirol,喹吡罗,,
sibutraminum,sibutramine,sibutramine,sibutramina,西布曲明,,
natrii dehydrocholas,sodium dehydrocholate,déhydrocholate de sodium,dehidrocolato de sodio,去氢胆酸钠,,
tropapridum,tropapride,tropapride,tropaprida,曲帕必利,,
enalaprilum,enalapril,énalapril,enalapril,依那普利,,
draquinololum,draquinolol,draquinolol,draquinolol,屈喹洛尔,,
prucalopridum,prucalopride,prucalopride,prucaloprida,普芦卡必利,,
zilpaterolum,zilpaterol,zilpatérol,zilpaterol,齐帕特罗,,
acidum cinepazicum,cinepazic acid,acide cinépazique,ácido cinepázico,桂哌酸,,
pipratecolum,pipratecol,pipratécol,pipratecol,哌拉替考,,
colimecyclinum,colimecycline,colimécycline,colimeciclina,多粘环素,,
,chloroquine,chloroquine,cloroquina,氯喹,,
fencibutirolum,fencibutirol,fencibutirol,fencibutirol,芬西布醇,,
sevopramidum,sevopramide,sévopramide,sevopramida,司伏普胺,,
nicafeninum,nicafenine,nicafénine,nicafenina,尼卡非宁,,
cadalimogenum ixalentivecum,cadalimogene ixalentivec,cadalimogène ixalentivec,cadalimogén ixalentivec,艾兰卡莫基,,
alclofenacum,alclofenac,alclofénac,alclofenaco,阿氯芬酸,,
trantelinii bromidum,trantelinium bromide,bromure de trantélinium,bromuro de trantelinio,群替溴铵,,
opanixilum,opanixil,opanixil,opanixilo,奥帕尼西,,
benzestrolum,benzestrol,benzestrol,bencestrol,苯雌酚,,
bolandiolum,bolandiol,bolandiol,bolandiol,勃雄二醇,,
flumeridonum,flumeridone,fluméridone,flumeridona,氟美立酮,,
carprazidilum,carprazidil,carprazidil,carprazidil,卡普地尔,,
satoreotidum trizoxetanum,satoreotide trizoxetan,satoréotide trizoxétan,satoreotida trizoxetán,曲沙瑞肽,,
duometacinum,duometacin,duométacine,duometacina,度美辛,,
cefclidinum,cefclidin,cefclidine,cefclidina,头孢克定,,
eniclobratum,eniclobrate,éniclobrate,eniclobrato,恩尼贝特,,
fenquizonum,fenquizone,fenquizone,fenquizona,芬喹唑,,
pituxatum,pituxate,pituxate,pituxato,哌妥酯,,
cefmepidii chloridum,cefmepidium chloride,chlorure de cefmépidium,cloruro de cefmepidio,头孢氯铵,,
,bitipazone,bitipazone,bitipazona,比替哌宗,,
almagodratum,almagodrate,almagodrate,almagodrato,铝镁屈特,,
flucrilatum,flucrilate,flucrilate,flucrilato,氟克立酯,,
methestrolum,methestrol,méthestrol,metestrol,美雌酚,,
,tolpadol,tolpadol,tolpadol,托帕多,,
aditerenum,aditeren,aditérène,aditereno,阿地特仑,,
quinaprilatum,quinaprilat,quinaprilate,quinaprilat,喹那普利拉,,
fenabutenum,fenabutene,fénabutène,fenabuteno,非那丁烯,,
,metoserpate,métoserpate,metoserpato,美托舍酯,,
revakinagenum taroretcelum,revakinagene taroretcel,révakinagène taroretcel,revakinagén taroretcel,瑞基塔锐赛,,
semotiadilum,semotiadil,sémotiadil,semotiadil,司莫地尔,,
halopemidum,halopemide,halopémide,halopemida,卤培米特,,
diethylstilbestrolum,diethylstilbestrol,diéthylstilbestrol,dietilestilbestrol,己烯雌酚,,
brofoxinum,brofoxine,brofoxine,brofoxina,溴福嗪,,
amedalinum,amedalin,amédaline,amedalina,氨甲达林,,
natrii cyclamas,sodium cyclamate,cyclamate de sodium,ciclamato de sodio,环拉酸钠,,
rafivirumabum,rafivirumab,rafivirumab,rafivirumab,雷韦尤单抗,,
cimetropii bromidum,cimetropium bromide,bromure de cimétropium,bromuro de cimetropio,西托溴铵,,
avoparcinum,avoparcin,avoparcine,avoparcina,阿伏帕星,,
isoxaprololum,isoxaprolol,isoxaprolol,isoxaprolol,异洛尔,,
lenadogenum nolparvovecum,lenadogene nolparvovec,lénadogène nolparvovec,lenadogén nolparvovec,诺哌来度基,,
racefenicolum,racefenicol,racéfénicol,racefenicol,消旋甲砜霉素,,
droxicamum,droxicam,droxicam,droxicam,屈昔康,,
mafoprazinum,mafoprazine,mafoprazine,mafoprazina,马福拉嗪,,
meclorisonum,meclorisone,méclorisone,meclorisona,甲氯松,,
mephenesinum,mephenesin,méphénésine,mefenesina,美芬新,,
propiverinum,propiverine,propivérine,propiverina,丙哌维林,,
broxaterolum,broxaterol,broxatérol,broxaterol,溴沙特罗,,
pibutidinum,pibutidine,pibutidine,pibutidina,哌布替丁,,
venlafaxinum,venlafaxine,venlafaxine,venlafaxina,文拉法辛,,
tenamfetaminum,tenamfetamine,ténamfétamine,tenanfetamina,替苯丙胺,,
enocitabinum,enocitabine,énocitabine,enocitabina,依诺他滨,,
quazodinum,quazodine,quazodine,quazodina,夸唑定,,
,romifenone,romifénone,romifenona,罗米芬酮,,
linsidominum,linsidomine,linsidomine,linsidomina,林西多明,,
gepefrinum,gepefrine,gépéfrine,gepefrina,吉培福林,,
ketocainolum,ketocainol,kétocaïnol,ketocainol,凯托卡诺,,
acidum gamolenicum,gamolenic acid,acide gamolénique,ácido gamolénico,加莫烯酸,,
ethylis dibunas,ethyl dibunate,dibunate d'éthyle,dibunato de etilo,地布酸乙酯,,
natrii ascorbas,sodium ascorbate,ascorbate de sodium,ascorbato de sodio,维生素C钠,,
,denzimol,denzimol,denzimol,登齐醇,,
noreximidum,noreximide,noreximide,noreximida,诺瑞昔胺,,
impacarzinum,impacarzine,impacarzine,impacarzina,英帕卡嗪,,
mertiatidum,mertiatide,mertiatide,mertiatida,巯替肽,,
clindamycinum,clindamycin,clindamycine,clindamicina,克林霉素,,
acidum iodocetylicum (123I),iodocetylic acid (123i),acide iodocétylique (123I),ácido iodocetílico (123I),碘[123I]软脂酸,,
oremeperminum alfa,oremepermin alfa,orémépermine alfa,oremepermina alfa,奥米普明α,,
tibezonii iodidum,tibezonium iodide,iodure de tibézonium,ioduro de tibezonio,替贝碘铵,,
etofyllini clofibras,etofylline clofibrate,clofibrate d'étofylline,clofibrato de etofilina,益多酯,,
loperamidum oxidum,loperamide oxide,lopéramide oxyde,óxido de loperamida,氧洛哌丁胺,,
clorgilinum,clorgiline,clorgiline,clorgilina,氯吉兰,,
,rosaprostol,rosaprostol,rosaprostol,罗沙前列醇,,
,tasosartan,tasosartan,tasosartán,他索沙坦,,
treptilaminum,treptilamine,treptilamine,treptilamina,曲普替胺,,
glunicatum,glunicate,glunicate,glunicato,葡烟酯,,
tipentosinum,tipentosin,tipentosine,tipentosina,噻戊托辛,,
flurazepamum,flurazepam,flurazépam,flurazepam,氟西泮,,
calcii levofolinas,calcium levofolinate,lévofolinate de calcium,levofolinato de calcio,左亚叶酸钙,,
daledalinum,daledalin,dalédaline,daledalina,达来达林,,
cinnarizini clofibras,cinnarizine clofibrate,clofibrate de cinnarizine,clofibrato de cinarizina,桂利嗪氯贝特,,
nordinonum,nordinone,nordinone,nordinona,诺二甲酮,,
lanatosidum C,lanatoside c,lanatoside C,lanatósido C,毛花苷C,,
lixazinonum,lixazinone,lixazinone,lixazinona,利沙齐农,,
,amprolium,amprolium,amprolio,安普罗铵,,
ropitoinum,ropitoin,ropitoïne,ropitoína,罗匹妥英,,
mapinastinum,mapinastine,mapinastine,mapinastina,马哌斯汀,,
imidazoli salicylas,imidazole salicylate,salicylate d'imidazole,salicilato de imidazol,水杨酸咪唑,,
somfaseporum,somfasepor,somfasépor,somfasepor,猪发生长素,,
iofolastatum (123I),iofolastat (123i),iofolastat (123I),iofolastat (123I),碘[123I]福司他,,
amcinafidum,amcinafide,amcinafide,amcinafida,安西非特,,
azanidazolum,azanidazole,azanidazole,azanidazol,阿扎硝唑,,
alanosinum,alanosine,alanosine,alanosina,阿拉诺新,,
rovoctocogenum durparvovecum,rovoctocogene durparvovec,rovoctocogène durparvovec,rovoctocogén durparvovec,多哌洛可基,,
cethexonii chloridum,cethexonium chloride,chlorure de céthexonium,cloruro de cetexonio,西塞氯铵,,
lauroguadinum,lauroguadine,lauroguadine,lauroguadina,月桂胍,,
amipizonum,amipizone,amipizone,amipizona,氨匹宗,,
nimetazepamum,nimetazepam,nimétazépam,nimetazepam,尼美西泮,,
fopirtolinum,fopirtoline,fopirtoline,fopirtolina,福吡托林,,
amcinafalum,amcinafal,amcinafal,amcinafal,安西法尔,,
oxetoronum,oxetorone,oxétorone,oxetorona,奥昔托隆,,
procinonidum,procinonide,procinonide,procinonida,普西奈德,,
pirepololum,pirepolol,pirépolol,pirepolol,匹瑞洛尔,,
,azimexon,azimexon,azimexón,阿齐美克,,
sulglicotidum,sulglicotide,sulglicotide,sulglicotida,硫糖肽,,
aganodinum,aganodine,aganodine,aganodina,阿胍诺定,,
meteneprostum,meteneprost,méténéprost,meteneprost,甲烯前列素,,
homopipramolum,homopipramol,homopipramol,homopipramol,高匹拉醇,,
aceglatonum,aceglatone,acéglatone,aceglatona,醋葡醛内酯,,
cilofunginum,cilofungin,cilofungine,cilofungina,西洛芬净,,
butonatum,butonate,butonate,butonato,布托酯,,
tetrofosminum,tetrofosmin,tétrofosmine,tetrofosmina,替曲膦,,
dalvastatinum,dalvastatin,dalvastatine,dalvastatina,达伐他汀,,
bemarinonum,bemarinone,bémarinone,bemarinona,贝马力农,,
pinazepamum,pinazepam,pinazépam,pinazepam,匹那西泮,,
thenii closilas,thenium closilate,closilate de thénium,closilato de tenio,氯苯磺酸西尼铵,,
frabuprofenum,frabuprofen,frabuprofène,frabuprofeno,氟拉洛芬,,
succisulfonum,succisulfone,succisulfone,succisulfona,琥珀氨苯砜,,
inetagugenum geperpavecum,inetagugene geperpavec,inétagugène géperpavec,inetagugén geperpavec,戈合依塔基,,
mabuprofenum,mabuprofen,mabuprofène,mabuprofeno,马布洛芬,,
clobenzepamum,clobenzepam,clobenzépam,clobenzepam,氯苯西泮,,
terofenamatum,terofenamate,térofénamate,terofenamato,特罗芬那酯,,
lorzafonum,lorzafone,lorzafone,lorzafona,氯扎封,,
mindoperonum,mindoperone,mindopérone,mindoperona,明多哌隆,,
cuproxolinum,cuproxoline,cuproxoline,cuproxolina,铜克索林,,
bepafantum,bepafant,bépafant,bepafant,贝帕泛,,
moxipraquinum,moxipraquine,moxipraquine,moxipraquina,甲氧丙喹,,
tilomisolum,tilomisole,tilomisole,tilomisol,噻氯咪索,,
stirocainidum,stirocainide,stirocaïnide,estirocainida,司替卡尼,,
,idrapril,idrapril,idrapril,伊屈普利,,
eprobemidum,eprobemide,éprobémide,eprobemida,依普贝胺,,
niceritrolum,niceritrol,nicéritrol,niceritrol,戊四烟酯,,
bromofosum,bromofos,bromofos,bromofós,溴硫磷,,
buspironum,buspirone,buspirone,buspirona,丁螺酮,,
efetozolum,efetozole,éfétozole,efetozol,依非托唑,,
fentiazacum,fentiazac,fentiazac,fentiazaco,芬替酸,,
butanserinum,butanserin,butansérine,butanserina,布坦色林,,
cefuracetimum,cefuracetime,céfuracétime,cefuracetima,头孢呋汀,,
rosopatamabum tetraxetanum,rosopatamab tetraxetan,rosopatamab tétraxétan,rosopatamab tetraxetán,替罗索帕妥单抗,,
metalkonii chloridum,metalkonium chloride,chlorure de métalkonium,cloruro de metalconio,美他氯铵,,
cefuzonamum,cefuzonam,céfuzonam,cefuzonam,头孢唑南,,
domoprednatum,domoprednate,domoprednate,domoprednato,多泼尼酯,,
isomolpanum,isomolpan,isomolpan,isomolpán,异莫泮,,
demoxepamum,demoxepam,démoxépam,demoxepam,地莫西泮,,
melinamidum,melinamide,mélinamide,melinamida,亚油甲苄胺,,
,oxydipentonium chloride,chlorure d'oxydipentonium,cloruro de oxidipentonio,奥地氯铵,,
setoperonum,setoperone,sétopérone,setoperona,司托哌隆,,
tobuterolum,tobuterol,tobutérol,tobuterol,托布特罗,,
glucametacinum,glucametacin,glucamétacine,glucametacina,葡美辛,,
estradioli benzoas,estradiol benzoate,benzoate d'estradiol,benzoato de estradiol,苯甲雌二醇,,
antithrombinum III,antithrombin iii,antithrombine III,antitrombina III,抗凝血酶III,,
clomegestonum,clomegestone,clomégestone,clomegestona,氯美孕酮,,
pelgifatamabum corixetanum,pelgifatamab corixetan,pelgifatamab corixétan,pelgifatamab corixetán,柯立派妥单抗,,
carbofenotionum,carbofenotion,carbofénotion,carbofenotión,卡波硫磷,,
tenilapinum,tenilapine,ténilapine,tenilapina,替尼拉平,,
texacromilum,texacromil,texacromil,texacromilo,替沙罗米,,
poliglecapronum,poliglecaprone,poliglécaprone,poliglecaprona,聚卡普隆,,
dimoxylinum,dimoxyline,dimoxyline,dimoxilina,地莫昔林,,
vocimagenum amiretrorepvecum,vocimagene amiretrorepvec,vocimagène amirétrorépvec,vocimagén amiretrorepvec,安芮伏码基,,
carbuterolum,carbuterol,carbutérol,carbuterol,卡布特罗,,
acidum aligomanuxicum,aligomanuxic acid,acide aligomanuxique,ácido aligomanúxico,甘露特酸,,
carubicinum,carubicin,carubicine,carubicina,卡柔比星,,
dicresulenum,dicresulene,dicrésulène,dicresuleno,地瑞舒林,,
quazolastum,quazolast,quazolast,quazolast,喹唑司特,,
fenclofosum,fenclofos,fenclofos,fenclofós,芬氯磷,,
clociguanilum,clociguanil,clociguanil,clociguanil,氯环胍,,
vaneprimum,vaneprim,vanéprime,vaneprima,伐奈普林,,
,octamylamine,octamylamine,octamilamina,辛戊胺,,
batroxobinum,batroxobin,batroxobine,batroxobina,巴曲酶,,
ipramidilum,ipramidil,ipramidil,ipramidil,异丙地尔,,
dazidaminum,dazidamine,dazidamine,dazidamina,达齐胺,,
dimetholizinum,dimetholizine,dimétholizine,dimetolizina,二甲力嗪,,
trandolaprilatum,trandolaprilat,trandolaprilate,trandolaprilat,群多普利拉,,
racepinefrinum,racepinefrine,racépinéfrine,racepinefrina,消旋肾上腺素,,
tebrocabtagenum autoleucelum,tebrocabtagene autoleucel,tébrocabtagène autoleucel,tebrocabtagén autoleucel,特泊卡基仑赛,,
choriogonadotropinum beta,choriogonadotropin beta,choriogonadotropine bêta,coriogonadotropina beta,绒促性素β,,
teroxironum,teroxirone,téroxirone,teroxirona,替罗昔隆,,
delandistrogenum moxeparvovecum,delandistrogene moxeparvovec,délandistrogène moxéparvovec,delandistrogén moxeparvovec,莫哌德兰基,,
levomentholum,levomenthol,lévomenthol,levomentol,左薄荷脑,,
premazepamum,premazepam,prémazépam,premazepam,普瑞西泮,,
chlormadinonum,chlormadinone,chlormadinone,clormadinona,氯地孕酮,,
,pamaquine,pamaquine,pamaquina,帕马喹,,
tirvalimogenum teraplasmidum,tirvalimogene teraplasmid,tirvalimogène téraplasmide,tirvalimogén teraplásmido,特米替莫基,,
meletimidum,meletimide,mélétimide,meletimida,甲苄哌苯哌酮,,
razinodilum,razinodil,razinodil,razinodil,雷嗪地尔,,
pelretinum,pelretin,pelrétine,pelretina,培维A,,
cetraxatum,cetraxate,cétraxate,cetraxato,西曲酸酯,,
enapotamabum vedotinum,enapotamab vedotin,énapotamab védotine,enapotamab vedotina,维恩泊妥单抗,,
anetumabum corixetanum,anetumab corixetan,anétumab corixétan,anetumab corixetán,柯安妥尤单抗,,
ranimycinum,ranimycin,ranimycine,ranimicina,雷尼霉素,,
froxiprostum,froxiprost,froxiprost,froxiprost,氟氧前列素,,
broxuridinum,broxuridine,broxuridine,broxuridina,溴尿苷,,
betamethasoni acibutas,betamethasone acibutate,acibutate de bétaméthasone,acibutato de betametasona,醋布倍他米松,,
picumeterolum,picumeterol,picumétérol,picumeterol,吡库特罗,,
acidum hydroxytoluicum,hydroxytoluic acid,acide hydroxytoluique,ácido hidroxitoluico,羟甲苯酸,,
dexlofexidinum,dexlofexidine,dexlofexidine,dexlofexidina,右洛非西定,,
ridazololum,ridazolol,ridazolol,ridazolol,利达洛尔,,
deboxametum,deboxamet,déboxamet,deboxamet,地波沙美,,
,pentaquine,pentaquine,pentaquina,喷他喹,,
efepoetinum alfa,efepoetin alfa,éfépoétine alfa,efepoetina alfa,依福促红素α,,
hydromadinonum,hydromadinone,hydromadinone,hidromadinona,羟地孕酮,,
netilmicinum,netilmicin,nétilmicine,netilmicina,奈替米星,,
zilovertamabum vedotinum,zilovertamab vedotin,zilovertamab védotine,zilovertamab vedotina,纬泽罗妥单抗,,
lomefloxacinum,lomefloxacin,loméfloxacine,lomefloxacino,洛美沙星,,
butantronum,butantrone,butantrone,butantrona,布蒽酮,,
calcii natrii ferriclas,calcium sodium ferriclate,ferriclate de calcium sodique,ferriclato cálcico de sodio,铁葡酸钙钠,,
timobesonum,timobesone,timobésone,timobesona,替莫贝松,,
ciclafrinum,ciclafrine,ciclafrine,ciclafrina,环拉福林,,
eflenograstimum alfa,eflenograstim alfa,éflénograstim alfa,eflenograstim alfa,依福莱格司亭α,,
piperacillinum,piperacillin,pipéracilline,piperacilina,哌拉西林,,
gentamicinum,gentamicin,gentamicine,gentamicina,庆大霉素,,
cismadinonum,cismadinone,cismadinone,cismadinona,西地孕酮,,
doretinelum,doretinel,dorétinel,doretinel,度维A,,
piketoprofenum,piketoprofen,pikétoprofène,piketoprofeno,吡酮洛芬,,
cloximatum,cloximate,cloximate,cloximato,氯克昔酯,,
bupranololum,bupranolol,bupranolol,bupranolol,布拉洛尔,,
dicarbinum,dicarbine,dicarbine,dicarbina,地卡宾,,
acidum palmoxiricum,palmoxiric acid,acide palmoxirique,ácido palmoxírico,帕莫酸,,
gliflumidum,gliflumide,gliflumide,gliflumida,格列氟胺,,
nemadectinum,nemadectin,némadectine,nemadectina,奈马克丁,,
cefsumidum,cefsumide,cefsumide,cefsumida,头孢舒米,,
imazodanum,imazodan,imazodan,imazodán,伊马唑旦,,
simlukafuspum alfa,simlukafusp alfa,simlukafusp alfa,simlukafusp alfa,欣洛奇芙普,,
sermetacinum,sermetacin,sermétacine,sermetacina,丝美辛,,
cloroqualonum,cloroqualone,cloroqualone,clorocualona,氯喹酮,,
pivampicillinum,pivampicillin,pivampicilline,pivampicilina,匹氨西林,,
colfenamatum,colfenamate,colfénamate,colfenamato,考芬那酯,,
perflunafenum,perflunafene,perflunafène,perflunafeno,全氟那芬,,
cetrimidum,cetrimide,cétrimide,cetrimida,西三溴胺,,
flecainidum,flecainide,flécaïnide,flecainida,氟卡尼,,
valperinolum,valperinol,valpérinol,valperinol,戊哌醇,,
bencisteinum,bencisteine,bencistéine,bencisteína,本司坦,,
azaprocinum,azaprocin,azaprocine,azaprocina,氮丙辛,,
nestifyllinum,nestifylline,nestifylline,nestifilina,奈司茶碱,,
tiacrilastum,tiacrilast,tiacrilast,tiacrilast,硫克司特,,
azaconazolum,azaconazole,azaconazole,azaconazol,阿扎康唑,,
carumonamum,carumonam,carumonam,carumonam,卡芦莫南,,
methoprenum,methoprene,méthoprène,metopreno,甲氧普烯,,
zinterolum,zinterol,zintérol,zinterol,净特罗,,
veradolinum,veradoline,véradoline,veradolina,维拉多林,,
fipexidum,fipexide,fipexide,fipexida,非哌西特,,
pregabalinum arenacarbilum,pregabalin arenacarbil,prégabaline arénacarbil,pregabalina arenacarbilo,阿那普瑞巴林,,
meseclazonum,meseclazone,méséclazone,meseclazona,美西拉宗,,
etofamidum,etofamide,étofamide,etofamida,依托法胺,,
dectaflurum,dectaflur,dectaflur,dectafluro,氢氟酸十八烯胺,,
tetramethrinum,tetramethrin,tétraméthrine,tetrametrina,四甲司林,,
indopanololum,indopanolol,indopanolol,indopanolol,吲帕洛尔,,
acidum iosericum,ioseric acid,acide iosérique,ácido iosérico,碘丝酸,,
semduramicinum,semduramicin,semduramicine,semduramicina,生度米星,,
fenspiridum,fenspiride,fenspiride,fenspirida,芬司匹利,,
domipizonum,domipizone,domipizone,domipizona,多米匹宗,,
tulobuterolum,tulobuterol,tulobutérol,tulobuterol,妥洛特罗,,
inodiftagenum vixteplasmidum,inodiftagene vixteplasmid,inodiftagène vixteplasmide,inodiftagén vixteplasmida,维米因塔基,,
beloxamidum,beloxamide,béloxamide,beloxamida,贝洛酰胺,,
pretiadilum,pretiadil,prétiadil,pretiadil,普硫地尔,,
terlakirenum,terlakiren,térlakirène,terlakireno,特拉吉仑,,
monalazonum dinatricum,monalazone disodium,monalazone disodique,monalazona de sodio,莫拉酸钠,,
bretylii tosilas,bretylium tosilate,tosilate de brétylium,tosilato de bretilio,托西溴苄铵,,
saletamidum,saletamide,salétamide,saletamida,沙乙酰胺,,
lonigutamabum ugodotinum,lonigutamab ugodotin,lonigutamab ugodotine,lonigutamab ugodotina,尤格罗尼妥单抗,,
silicristinum,silicristin,silicristine,silicristina,水飞蓟丁,,
vipivotidum tetraxetanum,vipivotide tetraxetan,vipivotide tétraxétan,vipivotida tetraxetãn,特昔维匹肽,,
tesimidum,tesimide,tésimide,tesimida,替西米德,,
lifibratum,lifibrate,lifibrate,lifibrato,利贝特,,
sopromidinum,sopromidine,sopromidine,sopromidina,索普米定,,
disoxarilum,disoxaril,disoxaril,disoxarilo,二沙利,,
azaquinzolum,azaquinzole,azaquinzole,azaquinzol,氮喹佐,,
silidianinum,silidianin,silidianine,silidianina,水飞蓟宁,,
promethazinum,promethazine,prométhazine,prometazina,异丙嗪,,
delmadinonum,delmadinone,delmadinone,delmadinona,地马孕酮,,
deterenolum,deterenol,détérénol,deterenol,地特诺,,
